Airport,Closest_Station
ABE,USW00014737
ABI,USW00013962
ABQ,USW00023050
ABR,USC00390022
ABY,USW00013869
ACK,USW00014756
ACT,USW00013959
ACV,USW00024283
ACY,USW00013753
ADK,USW00025704
ADQ,USW00025501
AEX,USW00013934
AGS,USW00003820
AKN,USC00506166
ALB,USW00014735
ALO,USW00094910
ALS,USW00023061
ALW,USW00024160
AMA,USC00410213
ANC,USC00500275
APN,USW00094849
ART,US1NYJF0039
ASE,USW00093073
ATL,USW00013874
ATW,USW00004825
ATY,USW00014946
AUS,USW00013904
AVL,USW00003812
AVP,USW00014777
AZA,USW00023104
AZO,USW00094815
BDL,USW00014740
BET,USW00026615
BFF,USW00024028
BFL,USW00023155
BFM,USW00013838
BGM,USC00300684
BGR,USW00014606
BHM,USC00010830
BIH,USC00040823
BIL,USW00024033
BIS,USC00320818
BJI,USR0000MBEM
BKG,USC00230887
BLI,USW00024217
BLV,USW00013802
BMI,US1ILMCL037
BNA,USW00003839
BOI,USC00101024
BOS,USW00014739
BPT,USW00012917
BQK,USW00093836
BQN,RQW00011603
BRD,USR0000MBRN
BRO,USC00419649
BRW,USW00027502
BTM,USC00241320
BTR,USW00013970
BTV,USW00014742
BUF,USW00014733
BUR,USW00023152
BWI,USW00093721
BZN,USW00024132
CAE,US1SCLX0067
CAK,USW00014895
CDB,USW00025603
CDC,USW00093129
CDV,USW00026410
CGI,USW00003935
CHA,USW00013882
CHO,USW00093736
CHS,USW00013880
CID,USW00014990
CIU,USW00004869
CKB,USW00003802
CLE,USW00014820
CLL,USW00003904
CLT,USW00013881
CMH,USW00014821
CMI,USW00094870
CMX,USW00014858
CNY,USW00093075
COD,US1WYPK0034
COS,USC00051777
COU,USW00003945
CPR,USW00024089
CRP,USC00412011
CRW,USW00013866
CSG,USC00092159
CVG,USW00093814
CWA,US1WIMT0027
CYS,USW00024018
DAB,USW00012834
DAL,US1TXDA0003
DAY,USW00093815
DBQ,USW00094908
DCA,USW00013751
DDC,USW00013985
DEC,USW00003887
DEN,USW00003017
DFW,USW00003927
DHN,USW00013839
DIK,USW00024012
DLG,USC00502457
DLH,USW00094909
DRO,USW00093005
DRT,USW00022010
DSM,USC00132201
DTW,USW00094847
DUT,USC00502587
DVL,USC00322148
EAR,USC00254335
EAT,USW00094239
EAU,USW00014991
ECP,USW00073805
EGE,USW00023063
